sample_name,env_type,env_00,env_01,env_02,nif_type,mapped_16106_16s_type,y,x,convertedthetao_mean_Layer,re_type
SRR5176048.SRS1921987,overlap,aquatic;marine,aquatic,sea,11,184,42.25,-70.54,10.8754882697101,0.0597826086956522
SRR3669485.SRS1505249,overlap,aquatic;ocean,aquatic,sea,0,55,42.133,-65.501,9.49776547886673,0
SRR7033445.SRS2777353,parallel,aquatic;marine,aquatic,sea,1,65,-14.28,-169.996,28.7930220283187,0.0153846153846154
ERR2305704.ERS2210134,overlap,aquatic;ocean,aquatic,sea,1,18,78.95,11.93,1.30789176103326,0.0555555555555556
SRR8583557.SRS4198362,parallel,aquatic;marine,aquatic,sea,0,18,42,-70,11.1425161573407,0
SRR11796640.SRS6664924,overlap,aquatic;marine,aquatic,sea,12,95,54.46,10.28,10.5726121916314,0.126315789473684
SRR5588144.SRS2218556,parallel,aquatic;sea,aquatic,sea,1,52,43.12,5.28,17.0500068162649,0.0192307692307692
SRR3309408.SRS1367928,parallel,aquatic;sea,aquatic,sea,3,93,-18.581,146.481,25.9860210081634,0.032258064516129
SRR5137813.SRS1890340,overlap,aquatic;marine,aquatic,sea,15,117,21.07,72.07,27.1822980823746,0.128205128205128
SRR12538711.SRS7279638,overlap,aquatic;ocean,aquatic,sea,0,29,19.433,-29.383,24.3129530752724,0
SRR5917014.SRS2418289,parallel,aquatic;marine,aquatic,sea,12,221,-34.119,151.227,20.4315708716673,0.0542986425339367
SRR7600007.SRS2777360,parallel,aquatic;marine,aquatic,sea,1,26,-14.28,-169.996,28.7930220283187,0.0384615384615385
SRR2558961.SRS1099692,parallel,aquatic;sea,aquatic,sea,5,162,28.313,-87.308,25.582019111609,0.0308641975308642
SRR5976594.SRS2466111,overlap,aquatic;ocean,aquatic,sea,4,97,46.61,152.052,4.9602169283711,0.0412371134020619
SRR5617488.SRS2231940,parallel,aquatic;sea,aquatic,sea,4,130,26.13,120.12,21.5014824015456,0.0307692307692308
SRR7596562.SRS2777426,parallel,aquatic;marine,aquatic,sea,1,25,-38.19,-171.5,16.1567447958556,0.04
SRR11796542.SRS6664651,overlap,aquatic;marine,aquatic,sea,10,172,54.46,10.33,10.5428454655318,0.0581395348837209
SRR7596306.SRS2777338,parallel,aquatic;marine,aquatic,sea,0,44,-42.396,-174.409,14.8779905245348,0
SRR6380067.SRS2760636,parallel,aquatic;sea,aquatic,sea,1,12,21.585,-81.597,27.8723026256113,0.0833333333333333
SRR8167265.SRS4024629,parallel,aquatic;sea,aquatic,sea,0,27,43.481,-62.454,9.4061696820812,0
SRR9112752.SRS4809401,parallel,aquatic;sea,aquatic,sea,5,77,28.498,-87.499,25.4877308489456,0.0649350649350649
SRR10762500.SRS5881831,parallel,aquatic;sea,aquatic,sea,4,107,22.34,114.295,24.168864095895,0.0373831775700935
SRR7599291.SRS3194146,parallel,aquatic;marine,aquatic,sea,2,50,-32,115.417,20.61662236222,0.04
SRR6321498.SRS2713116,parallel,aquatic;marine,aquatic,sea,9,135,22.482,113.921,24.6576354057291,0.0666666666666667
SRR6242110.SRS2649266,overlap,aquatic;marine,aquatic,sea,1,81,27.89,-94.036,25.3504898133669,0.0123456790123457
SRR3201511.SRS1320476,parallel,aquatic;sea,aquatic,sea,11,133,54.195,11.504,10.4803040371866,0.0827067669172932
SRR10902272.SRS6006095,parallel,aquatic;ocean,aquatic,sea,1,91,40.71,13.96,19.6344972507788,0.010989010989011
